"""AVGO""","""Avago Technologie""",77.61,"""10/20/2014""","""2:50pm""","""+0.46 - +0.60%""","984426
"
"""AVP""","""Avon Products"," In""",11.54,"""10/20/2014""","""2:51pm""","""+0.29 - +2.58%""","2524462
"
"""AVY""","""Avery Dennison Co""",43.30,"""10/20/2014""","""2:51pm""","""+0.17 - +0.39%""","719429
"
"""AXP""","""American Express """,83.8075,"""10/20/2014""","""2:51pm""","""+1.2275 - +1.49%""","3465422
"
"""AZO""","""AutoZone"," Inc. Co""",516.19,"""10/20/2014""","""2:51pm""","""+8.60 - +1.69%""","104932
"
"""BA""","""Boeing Company (T""",123.865,"""10/20/2014""","""2:51pm""","""+0.625 - +0.51%""","2248204
"
"""BAC""","""Bank of America C""",16.247,"""10/20/2014""","""2:51pm""","""+0.037 - +0.23%""","52034212
"
"""BAX""","""Baxter Internatio""",67.71,"""10/20/2014""","""2:51pm""","""+0.47 - +0.70%""","1986286
"
"""BBBY""","""Bed Bath & Beyond""",63.99,"""10/20/2014""","""2:51pm""","""+0.89 - +1.41%""","1170928
"
"""BBT""","""BB&T Corporation """,35.305,"""10/20/2014""","""2:51pm""","""+0.105 - +0.30%""","3429548
"
"""BBY""","""Best Buy Co."," Inc""",32.23,"""10/20/2014""","""2:51pm""","""+0.89 - +2.84%""","2019193
"
"""BCR""","""C.R. Bard"," Inc. C""",146.15,"""10/20/2014""","""2:51pm""","""+0.88 - +0.61%""","241664
"
"""BDX""","""Becton"," Dickinson""",122.59,"""10/20/2014""","""2:51pm""","""+0.86 - +0.71%""","1144685
"
"""BEN""","""Franklin Resource""",51.65,"""10/20/2014""","""2:51pm""","""-0.06 - -0.12%""","1113491
"
"""BF.B""","""BF.B""",0.00,"""N/A""","""9:-19pm""","""N/A - N/A""","N/A
"
"""BHI""","""Baker Hughes Inco""",52.57,"""10/20/2014""","""2:51pm""","""-0.56 - -1.05%""","4587889
"
"""BIIB""","""Biogen Idec Inc.""",311.00,"""10/20/2014""","""2:51pm""","""+4.29 - +1.40%""","1025985
"
"""BK""","""Bank of New York """,36.245,"""10/20/2014""","""2:51pm""","""-0.115 - -0.32%""","2656595
"
"""BLK""","""BlackRock"," Inc. C""",313.00,"""10/20/2014""","""2:51pm""","""-2.68 - -0.85%""","446066
"
"""BLL""","""Ball Corporation """,65.79,"""10/20/2014""","""2:51pm""","""+0.76 - +1.17%""","805188
"
"""BMS""","""Bemis Company"," In""",38.49,"""10/20/2014""","""2:50pm""","""+0.38 - +1.00%""","403245
"
"""BMY""","""Bristol-Myers Squ""",50.38,"""10/20/2014""","""2:51pm""","""-0.04 - -0.08%""","3416713
"
"""BRCM""","""Broadcom Corporat""",36.17,"""10/20/2014""","""2:51pm""","""+0.40 - +1.12%""","2839545
"
"""BRK.B""","""BRK.B""",0.00,"""N/A""","""N/A""","""N/A - N/A""","N/A
"
"""BSX""","""Boston Scientific""",11.54,"""10/20/2014""","""2:51pm""","""+0.17 - +1.50%""","3655741
"
"""BWA""","""BorgWarner Inc. C""",54.48,"""10/20/2014""","""2:51pm""","""-0.50 - -0.91%""","734474
"
"""BXP""","""Boston Properties""",120.48,"""10/20/2014""","""2:51pm""","""+0.92 - +0.77%""","348853
"
"""C""","""Citigroup"," Inc. C""",50.39,"""10/20/2014""","""2:51pm""","""+0.32 - +0.64%""","8596358
"
"""CA""","""CA Inc.""",26.555,"""10/20/2014""","""2:51pm""","""+0.205 - +0.78%""","2317183
"
"""CAG""","""ConAgra Foods"," In""",34.225,"""10/20/2014""","""2:51pm""","""+0.575 - +1.71%""","2875079
"
"""CAH""","""Cardinal Health"," """,73.95,"""10/20/2014""","""2:51pm""","""+0.33 - +0.45%""","1539598
"
"""CAM""","""Cameron Internati""",58.04,"""10/20/2014""","""2:51pm""","""+0.69 - +1.20%""","1887072
"
"""CAT""","""Caterpillar"," Inc.""",94.00,"""10/20/2014""","""2:51pm""","""-1.05 - -1.10%""","3085323
"
"""CB""","""Chubb Corporation""",92.88,"""10/20/2014""","""2:51pm""","""-0.01 - -0.01%""","565213
"
"""CBG""","""CBRE Group Inc Co""",29.32,"""10/20/2014""","""2:51pm""","""+0.34 - +1.17%""","763658
"
"""CBS""","""CBS Corporation C""",53.51,"""10/20/2014""","""2:52pm""","""+1.16 - +2.22%""","5266205
"
"""CCE""","""Coca-Cola Enterpr""",41.8856,"""10/20/2014""","""2:51pm""","""+0.7756 - +1.89%""","1720442
"
"""CCI""","""Crown Castle Inte""",82.04,"""10/20/2014""","""2:52pm""","""+1.20 - +1.48%""","1200818
"
"""CCL""","""Carnival Corporat""",35.71,"""10/20/2014""","""2:51pm""","""+0.79 - +2.26%""","4952095
"
"""CELG""","""Celgene Corporati""",92.30,"""10/20/2014""","""2:52pm""","""+4.18 - +4.74%""","6173611
"
"""CERN""","""Cerner Corporatio""",58.03,"""10/20/2014""","""2:51pm""","""+0.84 - +1.47%""","802593
"
"""CF""","""CF Industries Hol""",249.49,"""10/20/2014""","""2:52pm""","""+4.53 - +1.85%""","533362
"
"""CFN""","""CareFusion Corpor""",56.46,"""10/20/2014""","""2:51pm""","""+0.12 - +0.21%""","1845347
"
"""CHK""","""Chesapeake Energy""",20.635,"""10/20/2014""","""2:52pm""","""+0.475 - +2.36%""","7455005
"
"""CHRW""","""C.H. Robinson Wor""",68.62,"""10/20/2014""","""2:52pm""","""+0.64 - +0.94%""","859218
"
"""CI""","""Cigna Corporation""",90.37,"""10/20/2014""","""2:52pm""","""+1.33 - +1.49%""","578154
"
"""CINF""","""Cincinnati Financ""",46.79,"""10/20/2014""","""2:51pm""","""-0.02 - -0.04%""","317952
"
"""CL""","""Colgate-Palmolive""",64.50,"""10/20/2014""","""2:52pm""","""+0.77 - +1.21%""","1610352
"
"""CLX""","""Clorox Company (T""",97.43,"""10/20/2014""","""2:52pm""","""+1.13 - +1.17%""","839090
"
"""CMA""","""Comerica Incorpor""",43.75,"""10/20/2014""","""2:52pm""","""+0.69 - +1.60%""","1860301
"
"""CMCSA""","""Comcast Corporati""",51.27,"""10/20/2014""","""2:52pm""","""+0.59 - +1.16%""","9590661
"
"""CME""","""CME Group Inc.""",79.20,"""10/20/2014""","""2:52pm""","""+0.94 - +1.20%""","788396
"
"""CMG""","""Chipotle Mexican """,647.75,"""10/20/2014""","""2:52pm""","""+6.03 - +0.94%""","455749
"
"""CMI""","""Cummins Inc. Comm""",130.57,"""10/20/2014""","""2:52pm""","""+0.04 - +0.03%""","762950
"
"""CMS""","""CMS Energy Corpor""",31.30,"""10/20/2014""","""2:51pm""","""+0.75 - +2.45%""","1414141
"
"""CNP""","""CenterPoint Energ""",23.499,"""10/20/2014""","""2:52pm""","""+0.329 - +1.42%""","2862607
"
"""CNX""","""CONSOL Energy Inc""",34.70,"""10/20/2014""","""2:52pm""","""-0.08 - -0.23%""","1895715
"
"""COF""","""Capital One Finan""",76.40,"""10/20/2014""","""2:52pm""","""-0.03 - -0.04%""","3131802
"
"""COG""","""Cabot Oil & Gas C""",30.845,"""10/20/2014""","""2:52pm""","""-0.105 - -0.34%""","3942411
"
"""COH""","""Coach"," Inc. Commo""",35.05,"""10/20/2014""","""2:52pm""","""+0.56 - +1.62%""","2828999
"
"""COL""","""Rockwell Collins","""",76.41,"""10/20/2014""","""2:52pm""","""+0.16 - +0.21%""","425402
"
"""COP""","""ConocoPhillips Co""",68.72,"""10/20/2014""","""2:52pm""","""+0.64 - +0.94%""","4572977
"
"""COST""","""Costco Wholesale """,128.06,"""10/20/2014""","""2:52pm""","""+3.41 - +2.74%""","2122527
"
"""COV""","""Covidien plc. Ord""",84.215,"""10/20/2014""","""2:52pm""","""+2.015 - +2.45%""","7026427
"
"""CPB""","""Campbell Soup Com""",42.75,"""10/20/2014""","""2:52pm""","""+0.71 - +1.69%""","464904
"
"""CRM""","""Salesforce.com In""",55.85,"""10/20/2014""","""2:52pm""","""+0.22 - +0.40%""","2075371
"
"""CSC""","""Computer Sciences""",56.34,"""10/20/2014""","""2:52pm""","""-0.10 - -0.18%""","615599
"
"""CSCO""","""Cisco Systems"," In""",22.86,"""10/20/2014""","""2:52pm""","""-0.39 - -1.68%""","23629172
"
"""CSX""","""CSX Corporation C""",33.43,"""10/20/2014""","""2:52pm""","""-0.43 - -1.27%""","14691497
"
"""CTAS""","""Cintas Corporatio""",68.82,"""10/20/2014""","""2:52pm""","""-0.47 - -0.68%""","442369
"
"""CTL""","""CenturyLink"," Inc.""",39.21,"""10/20/2014""","""2:52pm""","""+0.35 - +0.90%""","1367192
"
"""CTSH""","""Cognizant Technol""",43.58,"""10/20/2014""","""2:52pm""","""-0.62 - -1.40%""","2204254
"
"""CTXS""","""Citrix Systems"," I""",65.10,"""10/20/2014""","""2:52pm""","""+0.56 - +0.87%""","1991391
"
"""CVC""","""Cablevision Syste""",17.65,"""10/20/2014""","""2:52pm""","""+0.22 - +1.26%""","727504
"
"""CVS""","""CVS Health Corpor""",81.58,"""10/20/2014""","""2:52pm""","""+1.62 - +2.03%""","3792260
"
"""CVX""","""Chevron Corporati""",111.1882,"""10/20/2014""","""2:52pm""","""-0.6118 - -0.55%""","5857665
"
"""D""","""Dominion Resource""",69.42,"""10/20/2014""","""2:52pm""","""+0.69 - +1.00%""","1217748
"
"""DAL""","""Delta Air Lines"," """,35.94,"""10/20/2014""","""2:53pm""","""+1.55 - +4.51%""","15767514
"
"""DD""","""E.I. du Pont de N""",67.76,"""10/20/2014""","""2:52pm""","""+0.78 - +1.16%""","3403142
"
"""DE""","""Deere & Company C""",82.2075,"""10/20/2014""","""2:53pm""","""-1.0825 - -1.30%""","3023046
"
"""DFS""","""Discover Financia""",62.59,"""10/20/2014""","""2:53pm""","""+0.14 - +0.22%""","1336788
"
"""DG""","""Dollar General Co""",60.86,"""10/20/2014""","""2:53pm""","""+0.91 - +1.52%""","3847217
"
"""DGX""","""Quest Diagnostics""",59.115,"""10/20/2014""","""2:52pm""","""+0.305 - +0.52%""","702332
"
"""DHI""","""D.R. Horton"," Inc.""",22.065,"""10/20/2014""","""2:52pm""","""+0.505 - +2.34%""","5716134
"
"""DHR""","""Danaher Corporati""",74.60,"""10/20/2014""","""2:53pm""","""-0.19 - -0.25%""","2000312
"
"""DIS""","""Walt Disney Compa""",85.39,"""10/20/2014""","""2:53pm""","""+1.56 - +1.86%""","5903802
"
"""DISCA""","""Discovery Communi""",34.59,"""10/20/2014""","""2:53pm""","""-0.06 - -0.17%""","1539673
"
