"""CHRW""",71.46,"""11/19/2014""","""3:57pm""
"
"""CI""",102.65,"""11/19/2014""","""3:57pm""
"
"""CINF""",50.805,"""11/19/2014""","""3:57pm""
"
"""CL""",68.27,"""11/19/2014""","""3:57pm""
"
"""CLX""",100.86,"""11/19/2014""","""3:57pm""
"
"""CMA""",47.95,"""11/19/2014""","""3:57pm""
"
"""CMCSA""",54.37,"""11/19/2014""","""3:57pm""
"
"""CME""",83.815,"""11/19/2014""","""3:57pm""
"
"""CMG""",658.04,"""11/19/2014""","""3:57pm""
"
"""CMI""",143.09,"""11/19/2014""","""3:57pm""
"
"""CMS""",32.68,"""11/19/2014""","""3:57pm""
"
"""CNP""",24.375,"""11/19/2014""","""3:57pm""
"
"""CNX""",40.825,"""11/19/2014""","""3:57pm""
"
"""COF""",80.66,"""11/19/2014""","""3:57pm""
"
"""COG""",34.02,"""11/19/2014""","""3:57pm""
"
"""COH""",35.425,"""11/19/2014""","""3:57pm""
"
"""COL""",84.34,"""11/19/2014""","""3:57pm""
"
"""COP""",72.13,"""11/19/2014""","""3:57pm""
"
"""COST""",140.04,"""11/19/2014""","""3:57pm""
"
"""COV""",97.51,"""11/19/2014""","""3:57pm""
"
"""CPB""",44.83,"""11/19/2014""","""3:57pm""
"
"""CRM""",61.15,"""11/19/2014""","""3:57pm""
"
"""CSC""",62.31,"""11/19/2014""","""3:57pm""
"
"""CSCO""",26.605,"""11/19/2014""","""3:57pm""
"
"""CSX""",36.865,"""11/19/2014""","""3:57pm""
"
"""CTAS""",71.71,"""11/19/2014""","""3:57pm""
"
"""CTL""",41.105,"""11/19/2014""","""3:57pm""
"
"""CTSH""",52.425,"""11/19/2014""","""3:57pm""
"
"""CTXS""",64.63,"""11/19/2014""","""3:57pm""
"
"""CVC""",18.93,"""11/19/2014""","""3:57pm""
"
"""CVS""",89.62,"""11/19/2014""","""3:57pm""
"
"""CVX""",116.50,"""11/19/2014""","""3:57pm""
"
"""D""",72.465,"""11/19/2014""","""3:57pm""
"
"""DAL""",44.44,"""11/19/2014""","""3:57pm""
"
"""DD""",71.26,"""11/19/2014""","""3:57pm""
"
"""DE""",86.285,"""11/19/2014""","""3:57pm""
"
"""DFS""",64.435,"""11/19/2014""","""3:57pm""
"
"""DG""",66.19,"""11/19/2014""","""3:57pm""
"
"""DGX""",63.44,"""11/19/2014""","""3:57pm""
"
"""DHI""",24.85,"""11/19/2014""","""3:57pm""
"
"""DHR""",82.585,"""11/19/2014""","""3:57pm""
"
"""DIS""",89.82,"""11/19/2014""","""3:57pm""
"
"""DISCA""",32.945,"""11/19/2014""","""3:57pm""
"
"""DISCK""",32.435,"""11/19/2014""","""3:57pm""
"
"""DLPH""",71.125,"""11/19/2014""","""3:57pm""
"
"""DLTR""",62.61,"""11/19/2014""","""3:57pm""
"
"""DNB""",125.48,"""11/19/2014""","""3:57pm""
"
"""DNR""",9.725,"""11/19/2014""","""3:57pm""
"
"""DO""",35.43,"""11/19/2014""","""3:57pm""
"
"""DOV""",80.735,"""11/19/2014""","""3:57pm""
"
"""DOW""",51.47,"""11/19/2014""","""3:57pm""
"
"""DPS""",71.17,"""11/19/2014""","""3:57pm""
"
"""DRI""",55.595,"""11/19/2014""","""3:57pm""
"
"""DTE""",81.19,"""11/19/2014""","""3:57pm""
"
"""DTV""",87.225,"""11/19/2014""","""3:57pm""
"
"""DUK""",80.40,"""11/19/2014""","""3:57pm""
"
"""DVA""",75.10,"""11/19/2014""","""3:57pm""
"
"""DVN""",64.879,"""11/19/2014""","""3:57pm""
"
"""EA""",43.45,"""11/19/2014""","""3:57pm""
"
"""EBAY""",54.845,"""11/19/2014""","""3:57pm""
"
"""ECL""",113.23,"""11/19/2014""","""3:57pm""
"
"""ED""",62.36,"""11/19/2014""","""3:57pm""
"
"""EFX""",78.33,"""11/19/2014""","""3:57pm""
"
"""EIX""",62.51,"""11/19/2014""","""3:57pm""
"
"""EL""",72.81,"""11/19/2014""","""3:57pm""
"
"""EMC""",29.955,"""11/19/2014""","""3:57pm""
"
"""EMN""",85.28,"""11/19/2014""","""3:57pm""
"
"""EMR""",64.16,"""11/19/2014""","""3:57pm""
"
"""EOG""",98.33,"""11/19/2014""","""3:57pm""
"
"""EQR""",69.2425,"""11/19/2014""","""3:57pm""
"
"""EQT""",95.95,"""11/19/2014""","""3:57pm""
"
"""ESRX""",79.46,"""11/19/2014""","""3:57pm""
"
"""ESS""",197.86,"""11/19/2014""","""3:57pm""
"
"""ESV""",38.72,"""11/19/2014""","""3:57pm""
"
"""ETFC""",22.655,"""11/19/2014""","""3:57pm""
"
"""ETN""",66.83,"""11/19/2014""","""3:57pm""
"
"""ETR""",83.315,"""11/19/2014""","""3:57pm""
"
"""EW""",125.75,"""11/19/2014""","""3:57pm""
"
"""EXC""",36.06,"""11/19/2014""","""3:57pm""
"
"""EXPD""",43.74,"""11/19/2014""","""3:57pm""
"
"""EXPE""",87.01,"""11/19/2014""","""3:57pm""
"
"""F""",15.45,"""11/19/2014""","""3:57pm""
"
"""FAST""",44.722,"""11/19/2014""","""3:57pm""
"
"""FB""",73.33,"""11/19/2014""","""3:57pm""
"
"""FCX""",28.075,"""11/19/2014""","""3:57pm""
"
"""FDO""",78.39,"""11/19/2014""","""3:57pm""
"
"""FDX""",171.60,"""11/19/2014""","""3:57pm""
"
"""FE""",37.005,"""11/19/2014""","""3:57pm""
"
"""FFIV""",126.50,"""11/19/2014""","""3:57pm""
"
"""FIS""",59.79,"""11/19/2014""","""3:57pm""
"
"""FISV""",70.41,"""11/19/2014""","""3:57pm""
"
"""FITB""",20.025,"""11/19/2014""","""3:57pm""
"
"""FLIR""",31.815,"""11/19/2014""","""3:57pm""
"
